TransactionID,Date,ProductName,Category,Region,SalesChannel,Quantity,UnitPrice,TotalAmount,PaymentMode,CustomerID
TXN0000022,2023-01-01,Silk Saree Premium,Fashion,South,Online,3,5572.25,16716.75,Cash,CUST01294
TXN0000023,2023-01-01,Basmati Rice 5kg,Grocery,North,Offline,1,462.66,462.66,Cash,CUST05941
TXN0000024,2023-01-01,Wardrobe Sliding Door,Furniture,East,Online,1,19094.2,19094.2,Credit Card,CUST09231
TXN0000025,2023-01-01,Basmati Rice 5kg,Grocery,South,Online,2,422.69,845.38,UPI,CUST05363
TXN0000026,2023-01-01,Cricket Bat SS,Sports,West,Offline,2,4513.94,9027.88,Credit Card,CUST10735
TXN0000027,2023-01-01,Ethnic Kurta Set,Fashion,North,Offline,2,2161.76,4323.52,Cash,CUST06177
TXN0000028,2023-01-01,Sony WH-1000XM5,Electronics,West,Offline,1,41114.27,41114.27,UPI,CUST10814
TXN0000029,2023-01-01,Mixer Grinder 750W,Appliances,North,Offline,1,4508.18,4508.18,Net Banking,CUST11918
TXN0000030,2023-01-01,Running Shoes Elite,Fashion,East,Offline,1,4204.27,4204.27,Credit Card,CUST11946
TXN0000031,2023-01-01,Pen Set Roller 12pc,Stationery,East,Online,2,272.63,545.26,UPI,CUST01135
TXN0000032,2023-01-01,Spice Combo Pack,Grocery,West,Offline,1,1033.51,1033.51,Net Banking,CUST04389
TXN0000033,2023-01-01,Whole Wheat Atta 10kg,Grocery,West,Offline,1,569.19,569.19,UPI,CUST00472
TXN0000034,2023-01-01,Quinoa 500g,Grocery,West,Online,1,570.4,570.4,UPI,CUST09287
TXN0000035,2023-01-01,Hair Growth Oil 200ml,Beauty,South,Offline,2,1186.15,2372.3,Net Banking,CUST11940
TXN0000036,2023-01-01,Business Blazer,Fashion,North,Offline,2,8259.13,16518.26,UPI,CUST11755
TXN0000037,2023-01-01,Kindle Paperwhite,Electronics,West,Offline,1,13162.17,13162.17,Credit Card,CUST02628
TXN0000038,2023-01-01,Running Shoes Elite,Fashion,West,Offline,1,5822.91,5822.91,UPI,CUST02183
TXN0000039,2023-01-01,Quinoa 500g,Grocery,West,Offline,4,737.14,2948.56,UPI,CUST01483
TXN0000040,2023-01-01,Sunscreen SPF 50+ 100ml,Beauty,East,Online,3,705.97,2117.91,Cash,CUST06236
TXN0000041,2023-01-01,Swimming Goggles,Sports,South,Online,2,1272.41,2544.82,Credit Card,CUST05754
TXN0000042,2023-01-01,Water Purifier RO,Appliances,West,Offline,1,14011.3,14011.3,UPI,CUST05795
TXN0000043,2023-01-01,Sofa Set 3+1+1,Furniture,West,Offline,1,54500.38,54500.38,UPI,CUST06142
TXN0000044,2023-01-01,Casual T-Shirt 3-Pack,Fashion,South,Offline,3,1743.03,5229.09,UPI,CUST00001
TXN0000045,2023-01-01,Honey Raw 500g,Grocery,East,Online,2,712.33,1424.66,UPI,CUST00108
TXN0000046,2023-01-01,Wireless Earbuds X1,Electronics,South,Offline,1,5298.65,5298.65,Net Banking,CUST01305
TXN0000047,2023-01-01,Resistance Bands Set,Sports,West,Online,1,1214.2,1214.2,Credit Card,CUST06074
TXN0000048,2023-01-01,Formal Shirt Pack,Fashion,South,Offline,1,2421.21,2421.21,Net Banking,CUST03578
TXN0000049,2023-01-01,Cricket Bat SS,Sports,North,Offline,1,3959.21,3959.21,UPI,CUST01422
TXN0000050,2023-01-01,File Cabinet Organizer,Stationery,East,Online,2,884.6,1769.2,Cash,CUST04561
TXN0000051,2023-01-01,Samsung Galaxy S24,Electronics,East,Offline,1,72614.55,72614.55,Net Banking,CUST00305
TXN0000052,2023-01-01,Samsung Galaxy S24,Electronics,East,Online,1,77819.26,77819.26,Cash,CUST03439
TXN0000053,2023-01-01,Casual T-Shirt 3-Pack,Fashion,West,Offline,1,2051.46,2051.46,Cash,CUST09676
TXN0000054,2023-01-01,Silk Saree Premium,Fashion,East,Offline,2,4713.21,9426.42,UPI,CUST07174
TXN0000055,2023-01-01,Lipstick Matte Collection,Beauty,South,Offline,1,561.05,561.05,Cash,CUST09382
TXN0000056,2023-01-01,Ergonomic Office Chair,Furniture,East,Online,1,13651.53,13651.53,Credit Card,CUST09165
TXN0000057,2023-01-01,Handbag Leather,Fashion,West,Offline,1,8303.47,8303.47,Credit Card,CUST08915
TXN0000058,2023-01-01,Resistance Bands Set,Sports,North,Offline,1,899.67,899.67,Credit Card,CUST04356
TXN0000059,2023-01-01,Cooking Oil 5L,Grocery,East,Offline,4,847.57,3390.28,Cash,CUST03453
TXN0000060,2023-01-01,Kindle Paperwhite,Electronics,West,Offline,1,14529.37,14529.37,UPI,CUST03561
TXN0000061,2023-01-01,Play-Doh Mega Set,Toys,North,Offline,1,538.68,538.68,Credit Card,CUST11747
TXN0000062,2023-01-01,Stuffed Animal Large,Toys,West,Offline,3,1047.48,3142.44,Net Banking,CUST03541
TXN0000063,2023-01-01,Water Purifier RO,Appliances,North,Online,2,12761.35,25522.7,Credit Card,CUST09996
TXN0000064,2023-01-01,Formal Shirt Pack,Fashion,North,Online,1,2954.15,2954.15,Credit Card,CUST08013
TXN0000065,2023-01-01,Lipstick Matte Collection,Beauty,North,Offline,1,348.98,348.98,UPI,CUST06831
TXN0000066,2023-01-01,Leather Belt Premium,Accessories,East,Online,2,1132.58,2265.16,Credit Card,CUST04166
TXN0000067,2023-01-01,Foundation HD Liquid,Beauty,North,Online,2,672.25,1344.5,Cash,CUST07800
TXN0000068,2023-01-01,Woolen Sweater,Fashion,South,Online,1,1861.31,1861.31,Cash,CUST08333
TXN0000069,2023-01-01,Stuffed Animal Large,Toys,North,Online,1,928.2,928.2,Credit Card,CUST11868
TXN0000070,2023-01-01,Swimming Goggles,Sports,East,Online,2,535.36,1070.72,Cash,CUST00147
TXN0000071,2023-01-01,Whole Wheat Atta 10kg,Grocery,North,Offline,3,375.29,1125.87,UPI,CUST05931
TXN0000072,2023-01-01,Apple AirPods Pro,Electronics,East,Offline,1,25744.42,25744.42,Credit Card,CUST09118
TXN0000073,2023-01-01,Ergonomic Office Chair,Furniture,West,Offline,1,12221.81,12221.81,UPI,CUST06982
TXN0000074,2023-01-01,Basmati Rice 5kg,Grocery,East,Online,2,719.41,1438.82,Credit Card,CUST11039
TXN0000075,2023-01-01,Casual T-Shirt 3-Pack,Fashion,East,Offline,1,1754.38,1754.38,UPI,CUST09434
TXN0000076,2023-01-01,Dining Table Set 6-Seater,Furniture,West,Online,1,39191.67,39191.67,Cash,CUST01917
TXN0000077,2023-01-01,Wallet RFID Slim,Accessories,East,Online,2,1558.63,3117.26,UPI,CUST00885
TXN0000078,2023-01-01,Ethnic Kurta Set,Fashion,East,Offline,1,4581.28,4581.28,UPI,CUST10807
TXN0000079,2023-01-01,Phone Case Premium,Accessories,West,Offline,1,1072.42,1072.42,Cash,CUST09528
TXN0000080,2023-01-01,Formal Shirt Pack,Fashion,South,Offline,1,2395.63,2395.63,UPI,CUST09106
TXN0000081,2023-01-01,Lipstick Matte Collection,Beauty,South,Online,1,435.82,435.82,UPI,CUST02016
TXN0000082,2023-01-01,Face Wash Gel,Beauty,North,Offline,1,454.78,454.78,Credit Card,CUST03929
TXN0000083,2023-01-01,Ethnic Kurta Set,Fashion,South,Offline,2,1645.3,3290.6,Cash,CUST00230
TXN0000084,2023-01-01,iPhone 15 Pro,Electronics,West,Offline,1,129751.87,129751.87,UPI,CUST00788
TXN0000085,2023-01-01,Face Wash Gel,Beauty,North,Online,1,392.05,392.05,UPI,CUST01670
TXN0000086,2023-01-01,Basmati Rice 5kg,Grocery,South,Offline,2,568.1,1136.2,Credit Card,CUST07380
TXN0000087,2023-01-01,Swimming Goggles,Sports,South,Offline,2,892.29,1784.58,UPI,CUST01380
TXN0000088,2023-01-01,Cycling Helmet,Sports,South,Offline,3,1080.55,3241.65,Net Banking,CUST08996
TXN0000089,2023-01-01,Premium Denim Jacket,Fashion,East,Offline,3,8128.9,24386.7,Cash,CUST06822
TXN0000090,2023-01-01,TV Unit Modern,Furniture,West,Offline,2,17188.16,34376.32,Credit Card,CUST07579
TXN0000091,2023-01-01,Badminton Racket Pro,Sports,South,Offline,1,2472.89,2472.89,Credit Card,CUST08444
TXN0000092,2023-01-01,Quinoa 500g,Grocery,North,Online,1,355.06,355.06,Net Banking,CUST00490
TXN0000093,2023-01-01,Samsung Galaxy S24,Electronics,West,Offline,1,84099.95,84099.95,UPI,CUST00329
TXN0000094,2023-01-01,Vitamin C Serum 30ml,Beauty,West,Offline,1,1658.54,1658.54,UPI,CUST07957
TXN0000095,2023-01-01,Gaming Console PS5,Electronics,North,Offline,1,36657.35,36657.35,UPI,CUST10888
TXN0000096,2023-01-01,Lipstick Matte Collection,Beauty,West,Offline,1,544.69,544.69,Net Banking,CUST03864
TXN0000097,2023-01-01,Water Purifier RO,Appliances,East,Online,1,16588.43,16588.43,UPI,CUST11925
TXN0000098,2023-01-01,Room Heater 2000W,Appliances,East,Online,1,3784.78,3784.78,Credit Card,CUST04058
TXN0000099,2023-01-01,Hair Growth Oil 200ml,Beauty,South,Offline,1,739.22,739.22,Net Banking,CUST01005
TXN0000100,2023-01-01,Spice Combo Pack,Grocery,North,Offline,1,529.9,529.9,Cash,CUST09982
TXN0000101,2023-01-01,Planner 2025 Hardcover,Stationery,West,Online,2,784.02,1568.04,Cash,CUST00323
TXN0000102,2023-01-01,Art Supplies Kit,Stationery,South,Offline,2,806.14,1612.28,UPI,CUST11406
TXN0000103,2023-01-01,Sony WH-1000XM5,Electronics,North,Offline,1,25691.37,25691.37,Net Banking,CUST04550
TXN0000104,2023-01-01,Sofa Set 3+1+1,Furniture,North,Online,1,45579.63,45579.63,Credit Card,CUST04346
TXN0000105,2023-01-01,Casual T-Shirt 3-Pack,Fashion,West,Offline,1,1311.81,1311.81,Cash,CUST02059
TXN0000106,2023-01-01,Microwave Oven 28L,Appliances,East,Offline,1,14495.24,14495.24,Credit Card,CUST07513
TXN0000107,2023-01-01,Memory Foam Mattress,Furniture,West,Online,1,17196.48,17196.48,Net Banking,CUST03564
TXN0000108,2023-01-01,Samsung Galaxy S24,Electronics,South,Online,1,68548.94,68548.94,Cash,CUST00990
TXN0000109,2023-01-01,Samsung Galaxy S24,Electronics,East,Online,1,93435.08,93435.08,Cash,CUST06783
TXN0000110,2023-01-01,Mixer Grinder 750W,Appliances,West,Offline,1,6156.91,6156.91,UPI,CUST10054
TXN0000111,2023-01-01,Smartwatch Budget,Accessories,West,Offline,1,6306.55,6306.55,Credit Card,CUST08293
TXN0000112,2023-01-01,Play-Doh Mega Set,Toys,East,Online,1,785.91,785.91,Cash,CUST00469
TXN0000113,2023-01-01,"Smart LED TV 55""",Electronics,South,Offline,1,71417.78,71417.78,Credit Card,CUST06586
TXN0000114,2023-01-01,Notebook Premium A4 Pack,Stationery,South,Offline,2,357.62,715.24,Credit Card,CUST07427
TXN0000115,2023-01-01,Basmati Rice 5kg,Grocery,West,Offline,4,771.75,3087.0,UPI,CUST01322
TXN0000116,2023-01-01,Treadmill Home,Sports,West,Offline,2,51779.47,103558.94,Credit Card,CUST04159
TXN0000117,2023-01-01,Cooking Oil 5L,Grocery,North,Offline,2,521.99,1043.98,Net Banking,CUST01568
TXN0000118,2023-01-01,Leather Belt Premium,Accessories,West,Offline,1,1798.88,1798.88,Net Banking,CUST02793
TXN0000119,2023-01-01,Planner 2025 Hardcover,Stationery,West,Online,1,588.02,588.02,Net Banking,CUST01667
TXN0000120,2023-01-01,TV Unit Modern,Furniture,West,Online,1,14409.93,14409.93,Credit Card,CUST04955
TXN0000121,2023-01-01,Face Wash Gel,Beauty,East,Offline,1,236.52,236.52,Credit Card,CUST06564
TXN0000122,2023-01-01,Notebook Premium A4 Pack,Stationery,East,Offline,1,451.48,451.48,UPI,CUST00419
TXN0000123,2023-01-01,Planner 2025 Hardcover,Stationery,North,Offline,4,628.77,2515.08,Credit Card,CUST02295
TXN0000124,2023-01-01,Business Blazer,Fashion,West,Offline,1,10766.45,10766.45,Credit Card,CUST02053
TXN0000125,2023-01-01,Wireless Earbuds X1,Electronics,East,Online,1,8040.99,8040.99,Net Banking,CUST02031
TXN0000126,2023-01-02,Modular Bookshelf,Furniture,East,Online,2,6556.14,13112.28,Cash,CUST08351
TXN0000127,2023-01-02,Running Shoes Elite,Fashion,East,Offline,2,5297.34,10594.68,Cash,CUST00219
TXN0000128,2023-01-02,Lipstick Matte Collection,Beauty,North,Offline,3,311.81,935.43,Credit Card,CUST10569
TXN0000129,2023-01-02,Notebook Premium A4 Pack,Stationery,North,Offline,1,348.39,348.39,UPI,CUST00460
TXN0000130,2023-01-02,Room Heater 2000W,Appliances,South,Online,1,3655.31,3655.31,UPI,CUST04983
TXN0000131,2023-01-02,Quinoa 500g,Grocery,East,Online,4,383.26,1533.04,Cash,CUST08219
TXN0000132,2023-01-02,Whole Wheat Atta 10kg,Grocery,North,Online,5,380.58,1902.9,UPI,CUST06171
TXN0000133,2023-01-02,Sticky Notes Bulk Pack,Stationery,West,Offline,4,286.77,1147.08,Net Banking,CUST01874
TXN0000134,2023-01-02,Wardrobe Sliding Door,Furniture,North,Offline,1,22481.28,22481.28,Net Banking,CUST00358
TXN0000135,2023-01-02,Business Blazer,Fashion,North,Online,1,6904.54,6904.54,UPI,CUST11149
TXN0000136,2023-01-02,Dumbbell Set 20kg,Sports,North,Offline,1,3182.44,3182.44,Cash,CUST03510
TXN0000137,2023-01-02,Basmati Rice 5kg,Grocery,East,Online,2,693.67,1387.34,Cash,CUST07165
TXN0000138,2023-01-02,Face Wash Gel,Beauty,South,Offline,2,497.82,995.64,Net Banking,CUST02321
TXN0000139,2023-01-02,Bedside Table Pair,Furniture,East,Offline,1,7749.39,7749.39,Credit Card,CUST06365
TXN0000140,2023-01-02,"Smart LED TV 55""",Electronics,West,Offline,1,85705.0,85705.0,Credit Card,CUST02275
TXN0000141,2023-01-02,Formal Shirt Pack,Fashion,East,Online,1,2898.65,2898.65,UPI,CUST02990
TXN0000142,2023-01-02,Memory Foam Mattress,Furniture,South,Offline,1,24255.64,24255.64,Credit Card,CUST01611
TXN0000143,2023-01-02,Mixed Dry Fruits 1kg,Grocery,North,Offline,1,1058.12,1058.12,Cash,CUST08542
TXN0000144,2023-01-02,Resistance Bands Set,Sports,South,Offline,1,1304.64,1304.64,Net Banking,CUST05284
TXN0000145,2023-01-02,Stuffed Animal Large,Toys,West,Online,1,939.51,939.51,UPI,CUST00456
TXN0000146,2023-01-02,Wallet RFID Slim,Accessories,South,Online,1,1303.2,1303.2,UPI,CUST02366
TXN0000147,2023-01-02,Premium Denim Jacket,Fashion,East,Online,1,6001.51,6001.51,UPI,CUST07532
TXN0000148,2023-01-02,Formal Shirt Pack,Fashion,West,Offline,1,2165.28,2165.28,Cash,CUST11897
TXN0000149,2023-01-02,Honey Raw 500g,Grocery,West,Online,4,514.83,2059.32,Credit Card,CUST00950
TXN0000150,2023-01-02,Formal Shirt Pack,Fashion,East,Offline,3,1707.82,5123.46,UPI,CUST01258
TXN0000151,2023-01-02,Formal Shirt Pack,Fashion,West,Offline,1,3350.53,3350.53,UPI,CUST08304
TXN0000152,2023-01-02,Cooking Oil 5L,Grocery,West,Online,4,997.84,3991.36,Credit Card,CUST10902
TXN0000153,2023-01-02,Vitamin C Serum 30ml,Beauty,South,Offline,3,688.83,2066.49,Cash,CUST01697
TXN0000154,2023-01-02,Wireless Earbuds X1,Electronics,East,Offline,1,8101.64,8101.64,Net Banking,CUST00451
TXN0000155,2023-01-02,Woolen Sweater,Fashion,West,Offline,2,2622.68,5245.36,Cash,CUST11465
TXN0000156,2023-01-02,Ethnic Kurta Set,Fashion,West,Online,2,3086.63,6173.26,Credit Card,CUST05209
TXN0000157,2023-01-02,Whole Wheat Atta 10kg,Grocery,East,Offline,2,454.86,909.72,Cash,CUST11316
TXN0000158,2023-01-02,Silk Saree Premium,Fashion,West,Offline,1,14052.71,14052.71,Net Banking,CUST05294
TXN0000159,2023-01-02,Ergonomic Office Chair,Furniture,South,Offline,1,9000.71,9000.71,Credit Card,CUST08812
TXN0000160,2023-01-02,Sports Sneakers Pro,Fashion,South,Offline,1,5303.73,5303.73,Credit Card,CUST00253
TXN0000161,2023-01-02,Formal Shirt Pack,Fashion,West,Offline,3,3673.26,11019.78,UPI,CUST00036
TXN0000162,2023-01-02,Sketch Pencil Set,Stationery,West,Offline,2,676.61,1353.22,Cash,CUST08178
TXN0000163,2023-01-02,Basmati Rice 5kg,Grocery,East,Online,3,737.46,2212.38,Credit Card,CUST03201
TXN0000164,2023-01-02,Face Wash Gel,Beauty,East,Offline,1,393.57,393.57,UPI,CUST11769
TXN0000165,2023-01-02,Organic Green Tea,Grocery,West,Offline,2,904.82,1809.64,Credit Card,CUST04664
TXN0000166,2023-01-02,Backpack 40L,Accessories,South,Offline,1,3274.88,3274.88,UPI,CUST07858
TXN0000167,2023-01-02,Sports Sneakers Pro,Fashion,West,Offline,1,11141.19,11141.19,UPI,CUST06107
TXN0000168,2023-01-02,Formal Shirt Pack,Fashion,West,Offline,1,3440.21,3440.21,Net Banking,CUST09590
TXN0000169,2023-01-02,Whole Wheat Atta 10kg,Grocery,West,Offline,2,499.61,999.22,Net Banking,CUST08855
TXN0000170,2023-01-02,Quinoa 500g,Grocery,West,Online,3,737.66,2212.98,Net Banking,CUST00347
TXN0000171,2023-01-02,Formal Shirt Pack,Fashion,East,Online,1,2797.2,2797.2,Cash,CUST00445
TXN0000172,2023-01-02,Dining Table Set 6-Seater,Furniture,North,Offline,1,17689.74,17689.74,UPI,CUST00428
TXN0000173,2023-01-02,Sports Sneakers Pro,Fashion,East,Offline,1,3255.91,3255.91,Credit Card,CUST09236
TXN0000174,2023-01-02,Formal Shirt Pack,Fashion,South,Online,2,1429.3,2858.6,Credit Card,CUST08757
TXN0000175,2023-01-02,Standing Desk Pro,Furniture,West,Offline,1,31064.41,31064.41,Credit Card,CUST01817
TXN0000176,2023-01-02,Sony WH-1000XM5,Electronics,South,Offline,1,25954.94,25954.94,UPI,CUST09669
TXN0000177,2023-01-02,Smartwatch Budget,Accessories,West,Offline,3,7941.91,23825.73,Cash,CUST05739
TXN0000178,2023-01-02,Night Cream Premium,Beauty,West,Offline,1,1956.68,1956.68,Credit Card,CUST02498
TXN0000179,2023-01-02,Whole Wheat Atta 10kg,Grocery,South,Offline,2,392.94,785.88,Net Banking,CUST02403
TXN0000180,2023-01-02,Leather Belt Premium,Accessories,North,Online,1,1740.64,1740.64,Cash,CUST02661
TXN0000181,2023-01-02,Premium Denim Jacket,Fashion,North,Online,2,6231.58,12463.16,Cash,CUST06944
TXN0000182,2023-01-02,Microwave Oven 28L,Appliances,East,Offline,2,14374.04,28748.08,Cash,CUST04170
TXN0000183,2023-01-02,Formal Shirt Pack,Fashion,West,Online,2,2953.83,5907.66,Cash,CUST05186
TXN0000184,2023-01-02,Whole Wheat Atta 10kg,Grocery,East,Online,4,393.69,1574.76,Net Banking,CUST06012
TXN0000185,2023-01-02,Refrigerator 300L,Appliances,South,Online,1,20840.37,20840.37,Credit Card,CUST03002
TXN0000186,2023-01-02,Woolen Sweater,Fashion,South,Offline,1,4316.74,4316.74,Credit Card,CUST01951
TXN0000187,2023-01-02,Art Supplies Kit,Stationery,West,Offline,1,1081.12,1081.12,Credit Card,CUST02290
TXN0000188,2023-01-02,Yoga Mat Premium,Sports,North,Offline,1,696.14,696.14,Net Banking,CUST00096
TXN0000189,2023-01-02,Basmati Rice 5kg,Grocery,East,Offline,5,628.56,3142.8,Cash,CUST11781
TXN0000190,2023-01-02,Bedside Table Pair,Furniture,East,Online,1,7179.39,7179.39,Cash,CUST00095
TXN0000191,2023-01-02,Sports Sneakers Pro,Fashion,West,Online,1,5694.37,5694.37,Cash,CUST09088
TXN0000192,2023-01-02,Wardrobe Sliding Door,Furniture,West,Offline,2,23278.0,46556.0,Net Banking,CUST00030
TXN0000193,2023-01-02,Microwave Oven 28L,Appliances,South,Online,1,9219.8,9219.8,Cash,CUST03796
TXN0000194,2023-01-02,Spice Combo Pack,Grocery,West,Online,3,899.11,2697.33,UPI,CUST00087
TXN0000195,2023-01-02,Foundation HD Liquid,Beauty,West,Offline,2,2352.13,4704.26,Cash,CUST05119
TXN0000196,2023-01-02,Modular Bookshelf,Furniture,East,Online,2,9339.05,18678.1,UPI,CUST02497
TXN0000197,2023-01-02,Sketch Pencil Set,Stationery,West,Online,2,1064.37,2128.74,Credit Card,CUST07336
TXN0000198,2023-01-02,Remote Control Car,Toys,South,Online,1,1480.79,1480.79,Credit Card,CUST07602
TXN0000199,2023-01-02,Yoga Mat Premium,Sports,South,Offline,1,728.73,728.73,Net Banking,CUST02188
TXN0000200,2023-01-02,Wardrobe Sliding Door,Furniture,North,Offline,1,18272.13,18272.13,Net Banking,CUST02953
TXN0000201,2023-01-02,Casual T-Shirt 3-Pack,Fashion,East,Online,1,1119.8,1119.8,Credit Card,CUST04692
TXN0000202,2023-01-02,Perfume Luxury 100ml,Beauty,South,Offline,1,3390.02,3390.02,Net Banking,CUST00788
TXN0000203,2023-01-02,Wireless Earbuds X1,Electronics,South,Online,1,3522.18,3522.18,Cash,CUST00216
TXN0000204,2023-01-02,Science Kit Kids,Toys,West,Offline,2,2146.47,4292.94,Credit Card,CUST10488
TXN0000205,2023-01-02,Basmati Rice 5kg,Grocery,East,Online,1,484.07,484.07,UPI,CUST10744
TXN0000206,2023-01-02,Sony WH-1000XM5,Electronics,East,Offline,1,31451.38,31451.38,Credit Card,CUST09076
TXN0000207,2023-01-02,Board Game Family,Toys,South,Online,2,731.06,1462.12,UPI,CUST03239
TXN0000208,2023-01-02,Cooking Oil 5L,Grocery,East,Online,2,788.45,1576.9,Credit Card,CUST05812
TXN0000209,2023-01-02,Business Blazer,Fashion,West,Online,1,8495.36,8495.36,Credit Card,CUST07638
TXN0000210,2023-01-02,Organic Green Tea,Grocery,North,Online,1,615.68,615.68,Cash,CUST10132
TXN0000211,2023-01-02,Dumbbell Set 20kg,Sports,West,Offline,2,6272.56,12545.12,Net Banking,CUST00146
TXN0000212,2023-01-02,Basmati Rice 5kg,Grocery,West,Offline,3,651.25,1953.75,Net Banking,CUST04930
TXN0000213,2023-01-02,Ergonomic Office Chair,Furniture,South,Online,1,20259.6,20259.6,Cash,CUST07978
TXN0000214,2023-01-02,Pen Set Roller 12pc,Stationery,West,Offline,4,382.37,1529.48,UPI,CUST00177
TXN0000215,2023-01-02,Mixed Dry Fruits 1kg,Grocery,West,Offline,1,1275.05,1275.05,UPI,CUST09013
TXN0000216,2023-01-02,Mixed Dry Fruits 1kg,Grocery,East,Offline,2,888.75,1777.5,Credit Card,CUST00149
TXN0000217,2023-01-02,Standing Desk Pro,Furniture,South,Offline,1,27046.97,27046.97,UPI,CUST01320
TXN0000218,2023-01-02,Board Game Family,Toys,North,Online,1,1847.76,1847.76,UPI,CUST02647
TXN0000219,2023-01-02,Basmati Rice 5kg,Grocery,East,Online,2,547.91,1095.82,UPI,CUST10263
TXN0000220,2023-01-02,Yoga Mat Premium,Sports,East,Online,1,2506.96,2506.96,UPI,CUST05109
TXN0000221,2023-01-02,Yoga Mat Premium,Sports,West,Offline,3,1220.82,3662.46,UPI,CUST05193
TXN0000222,2023-01-02,Casual T-Shirt 3-Pack,Fashion,East,Online,3,2047.66,6142.98,UPI,CUST00093
TXN0000223,2023-01-02,Silk Saree Premium,Fashion,West,Online,1,18577.34,18577.34,Net Banking,CUST04692
TXN0000224,2023-01-02,Organic Green Tea,Grocery,North,Online,5,298.55,1492.75,UPI,CUST02430
TXN0000225,2023-01-02,Notebook Premium A4 Pack,Stationery,West,Offline,2,585.1,1170.2,UPI,CUST00070
TXN0000226,2023-01-02,MacBook Air M3,Electronics,West,Offline,1,172406.21,172406.21,Credit Card,CUST00090
TXN0000227,2023-01-02,Sticky Notes Bulk Pack,Stationery,South,Offline,2,184.54,369.08,UPI,CUST10984
TXN0000228,2023-01-02,Organic Green Tea,Grocery,West,Online,4,635.2,2540.8,UPI,CUST07422
TXN0000229,2023-01-02,Mixed Dry Fruits 1kg,Grocery,East,Offline,5,1530.38,7651.9,Credit Card,CUST05369
TXN0000230,2023-01-02,Doll House Wooden,Toys,West,Online,1,5341.18,5341.18,UPI,CUST00345
TXN0000231,2023-01-02,Honey Raw 500g,Grocery,North,Online,1,448.95,448.95,Cash,CUST04203
TXN0000232,2023-01-02,Dell XPS 15,Electronics,South,Online,1,95380.28,95380.28,Credit Card,CUST08580
TXN0000233,2023-01-02,Formal Shirt Pack,Fashion,East,Offline,1,3573.87,3573.87,Cash,CUST03873
TXN0000234,2023-01-02,Basmati Rice 5kg,Grocery,North,Offline,3,384.21,1152.63,UPI,CUST08550
TXN0000235,2023-01-02,LEGO Classic Set,Toys,West,Offline,2,6376.58,12753.16,Credit Card,CUST11150
TXN0000236,2023-01-02,Sofa Set 3+1+1,Furniture,West,Online,1,36109.1,36109.1,Cash,CUST02803
TXN0000237,2023-01-02,Samsung Galaxy S24,Electronics,West,Offline,1,110973.28,110973.28,Net Banking,CUST00041
TXN0000238,2023-01-02,Sofa Set 3+1+1,Furniture,North,Offline,1,39022.26,39022.26,Cash,CUST11142
